issue,priority,sku,product,category,field,discrete_value,blob_value,action,url
malformed,1,"MSLBSE04","Hip Thrust Machine Elite (Selectorize)","Strength","Warranty","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/hip-thrust-machine-elite-selectorize
malformed,1,"MSLBSE05","Leg Extension & Leg Curl Machine Elite (Selectorize)","Strength","Warranty","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/leg-extension-leg-curl-machine-elite-selectorize
malformed,1,"MSWBFW01","Flat Utility Weight Bench Pro (Angled Legs)","Strength","Warranty","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/flat-utility-weight-bench-pro-angled-legs-2
malformed,1,"MSWBFW02","Adjustable Utility Weight Bench Pro","Strength","Warranty","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/adjustable-utility-weight-bench-pro-3
conflict,1,"AWWPCB","Competition Bumper Plates","Weightlifting","Assembled size","450 x 450 x 35","450 x 450 x 26","Decide which is correct, then set the assembled_size_length/width/height/depth field to it",/product/competition-bumper-plates-alt-v
conflict,1,"AWWPCB","Competition Bumper Plates","Weightlifting","Net weight","10","5 kg","Decide which is correct, then set the net_weight field to it",/product/competition-bumper-plates-alt-v
conflict,1,"AWWPCB","Competition Bumper Plates","Weightlifting","Gross weight","11","6 kg","Decide which is correct, then set the gross_weight field to it",/product/competition-bumper-plates-alt-v
conflict,1,"AWWPCB","Competition Bumper Plates","Weightlifting","Warranty","12","3 months","Decide which is correct, then set the warranty field to it",/product/competition-bumper-plates-alt-v
conflict,1,"AWWPOU","Olympic Urethane Weight Plates","Weightlifting","Assembled size","322 x 322 x 40","250 x 250 x 37","Decide which is correct, then set the assembled_size_length/width/height/depth field to it",/product/olympic-urethane-weight-plates-alt-v
conflict,1,"AWWPOU","Olympic Urethane Weight Plates","Weightlifting","Net weight","10","5, 10, 15 kg","Decide which is correct, then set the net_weight field to it",/product/olympic-urethane-weight-plates-alt-v
conflict,1,"AWWPOU","Olympic Urethane Weight Plates","Weightlifting","Gross weight","11","6, 11, 16 kg","Decide which is correct, then set the gross_weight field to it",/product/olympic-urethane-weight-plates-alt-v
