issue,priority,sku,product,category,field,discrete_value,blob_value,action,url
blob_only,3,"MEFRBL03","Medicine Ball Rack - 5 Ball (Single Sided)","Equipment Storage","Net weight","","14 kg","Copy ""14 kg"" into the net_weight field",/product/medicine-ball-rack-5-ball-single-sided
blob_only,3,"MEFRBL03","Medicine Ball Rack - 5 Ball (Single Sided)","Equipment Storage","Gross weight","","16 kg","Copy ""16 kg"" into the gross_weight field",/product/medicine-ball-rack-5-ball-single-sided
blob_only,3,"MEFRBL03","Medicine Ball Rack - 5 Ball (Single Sided)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/medicine-ball-rack-5-ball-single-sided
blob_only,3,"MEFRDB01","Vertical Dumbbell Rack - 10 Pair (Single Sided) 1.0","Equipment Storage","Assembled size","","780 x 620 x 1,440","Copy ""780 x 620 x 1,440"" into the assembled_size_length/width/height/depth field",/product/vertical-dumbbell-rack-10-pair-single-sided-1-0
blob_only,3,"MEFRDB01","Vertical Dumbbell Rack - 10 Pair (Single Sided) 1.0","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/vertical-dumbbell-rack-10-pair-single-sided-1-0
blob_only,3,"MEFRDB01","Vertical Dumbbell Rack - 10 Pair (Single Sided) 1.0","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/vertical-dumbbell-rack-10-pair-single-sided-1-0
blob_only,3,"MEFRDB01","Vertical Dumbbell Rack - 10 Pair (Single Sided) 1.0","Equipment Storage","Net weight","","41 kg","Copy ""41 kg"" into the net_weight field",/product/vertical-dumbbell-rack-10-pair-single-sided-1-0
blob_only,3,"MEFRDB01","Vertical Dumbbell Rack - 10 Pair (Single Sided) 1.0","Equipment Storage","Gross weight","","43 kg","Copy ""43 kg"" into the gross_weight field",/product/vertical-dumbbell-rack-10-pair-single-sided-1-0
blob_only,3,"MEFRDB01","Vertical Dumbbell Rack - 10 Pair (Single Sided) 1.0","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/vertical-dumbbell-rack-10-pair-single-sided-1-0
blob_only,3,"MEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Assembled size","","580 x 550 x 1,150","Copy ""580 x 550 x 1,150"" into the assembled_size_length/width/height/depth field",/product/vertical-dumbbell-rack-portable-four-sided-2
blob_only,3,"MEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/vertical-dumbbell-rack-portable-four-sided-2
blob_only,3,"MEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/vertical-dumbbell-rack-portable-four-sided-2
blob_only,3,"MEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Net weight","","50 kg","Copy ""50 kg"" into the net_weight field",/product/vertical-dumbbell-rack-portable-four-sided-2
blob_only,3,"MEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Gross weight","","53 kg","Copy ""53 kg"" into the gross_weight field",/product/vertical-dumbbell-rack-portable-four-sided-2
blob_only,3,"MEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/vertical-dumbbell-rack-portable-four-sided-2
blob_only,3,"MEFRDB07","Horizontal Dumbbell Rack - 2 Tier (5 Pair) 1.0","Equipment Storage","Assembled size","","1,110 x 665 x 808","Copy ""1,110 x 665 x 808"" into the assembled_size_length/width/height/depth field",/product/horizontal-dumbbell-rack-2-tier-5-pair-1-0
blob_only,3,"MEFRDB07","Horizontal Dumbbell Rack - 2 Tier (5 Pair) 1.0","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/horizontal-dumbbell-rack-2-tier-5-pair-1-0
blob_only,3,"MEFRDB07","Horizontal Dumbbell Rack - 2 Tier (5 Pair) 1.0","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/horizontal-dumbbell-rack-2-tier-5-pair-1-0
blob_only,3,"MEFRDB07","Horizontal Dumbbell Rack - 2 Tier (5 Pair) 1.0","Equipment Storage","Net weight","","51 kg","Copy ""51 kg"" into the net_weight field",/product/horizontal-dumbbell-rack-2-tier-5-pair-1-0
blob_only,3,"MEFRDB07","Horizontal Dumbbell Rack - 2 Tier (5 Pair) 1.0","Equipment Storage","Gross weight","","54 kg","Copy ""54 kg"" into the gross_weight field",/product/horizontal-dumbbell-rack-2-tier-5-pair-1-0
blob_only,3,"MEFRDB07","Horizontal Dumbbell Rack - 2 Tier (5 Pair) 1.0","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/horizontal-dumbbell-rack-2-tier-5-pair-1-0
blob_only,3,"MEFRKB01","Kettlebell Rack (2 Tier) 2.0","Equipment Storage","Assembled size","","1,200 x 850 x 650","Copy ""1,200 x 850 x 650"" into the assembled_size_length/width/height/depth field",/product/kettlebell-rack-2-tier-2-0
blob_only,3,"MEFRKB01","Kettlebell Rack (2 Tier) 2.0","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/kettlebell-rack-2-tier-2-0
blob_only,3,"MEFRKB01","Kettlebell Rack (2 Tier) 2.0","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/kettlebell-rack-2-tier-2-0
blob_only,3,"MEFRKB01","Kettlebell Rack (2 Tier) 2.0","Equipment Storage","Net weight","","30 kg","Copy ""30 kg"" into the net_weight field",/product/kettlebell-rack-2-tier-2-0
blob_only,3,"MEFRKB01","Kettlebell Rack (2 Tier) 2.0","Equipment Storage","Gross weight","","33 kg","Copy ""33 kg"" into the gross_weight field",/product/kettlebell-rack-2-tier-2-0
blob_only,3,"MEFRKB01","Kettlebell Rack (2 Tier) 2.0","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/kettlebell-rack-2-tier-2-0
blob_only,3,"MEFROP01","Olympic Plate Toaster Rack Portable","Equipment Storage","Assembled size","","1,415 x 350 x 896","Copy ""1,415 x 350 x 896"" into the assembled_size_length/width/height/depth field",/product/olympic-plate-toaster-rack-portable
blob_only,3,"MEFROP01","Olympic Plate Toaster Rack Portable","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/olympic-plate-toaster-rack-portable
blob_only,3,"MEFROP01","Olympic Plate Toaster Rack Portable","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/olympic-plate-toaster-rack-portable
blob_only,3,"MEFROP01","Olympic Plate Toaster Rack Portable","Equipment Storage","Net weight","","20 kg","Copy ""20 kg"" into the net_weight field",/product/olympic-plate-toaster-rack-portable
blob_only,3,"MEFROP01","Olympic Plate Toaster Rack Portable","Equipment Storage","Gross weight","","22 kg","Copy ""22 kg"" into the gross_weight field",/product/olympic-plate-toaster-rack-portable
blob_only,3,"MEFROP01","Olympic Plate Toaster Rack Portable","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/olympic-plate-toaster-rack-portable
blob_only,3,"MEFRPS01","Group Fitness Barbell Set Rack","Equipment Storage","Assembled size","","700 x 620 x 1,440","Copy ""700 x 620 x 1,440"" into the assembled_size_length/width/height/depth field",/product/group-fitness-barbell-set-rack
blob_only,3,"MEFRPS01","Group Fitness Barbell Set Rack","Equipment Storage","Net weight","","31 kg","Copy ""31 kg"" into the net_weight field",/product/group-fitness-barbell-set-rack
blob_only,3,"MEFRPS01","Group Fitness Barbell Set Rack","Equipment Storage","Gross weight","","34 kg","Copy ""34 kg"" into the gross_weight field",/product/group-fitness-barbell-set-rack
blob_only,3,"MEWMACC01","Rope & Band Rack (Wall Mounted) (Small)","Equipment Storage","Assembled size","","420 x 100 x 100","Copy ""420 x 100 x 100"" into the assembled_size_length/width/height/depth field",/product/rope-band-rack-wall-mounted-small
blob_only,3,"MEWMACC01","Rope & Band Rack (Wall Mounted) (Small)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/rope-band-rack-wall-mounted-small
blob_only,3,"MEWMACC01","Rope & Band Rack (Wall Mounted) (Small)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/rope-band-rack-wall-mounted-small
blob_only,3,"MEWMACC01","Rope & Band Rack (Wall Mounted) (Small)","Equipment Storage","Net weight","","3 kg","Copy ""3 kg"" into the net_weight field",/product/rope-band-rack-wall-mounted-small
blob_only,3,"MEWMACC01","Rope & Band Rack (Wall Mounted) (Small)","Equipment Storage","Gross weight","","4 kg","Copy ""4 kg"" into the gross_weight field",/product/rope-band-rack-wall-mounted-small
blob_only,3,"MEWMACC01","Rope & Band Rack (Wall Mounted) (Small)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/rope-band-rack-wall-mounted-small
blob_only,3,"MEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Assembled size","","570 x 100 x 100","Copy ""570 x 100 x 100"" into the assembled_size_length/width/height/depth field",/product/rope-band-rack-wall-mounted
blob_only,3,"MEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/rope-band-rack-wall-mounted
blob_only,3,"MEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/rope-band-rack-wall-mounted
blob_only,3,"MEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Net weight","","3 kg","Copy ""3 kg"" into the net_weight field",/product/rope-band-rack-wall-mounted
blob_only,3,"MEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Gross weight","","4 kg","Copy ""4 kg"" into the gross_weight field",/product/rope-band-rack-wall-mounted
blob_only,3,"MEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/rope-band-rack-wall-mounted
blob_only,3,"MEWMBL01","Fitness Ball Storage Rack (Wall Mounted)","Equipment Storage","Assembled size","","1,960 x 270 x 688","Copy ""1,960 x 270 x 688"" into the assembled_size_length/width/height/depth field",/product/fitness-ball-storage-rack-wall-mounted
blob_only,3,"MEWMBL01","Fitness Ball Storage Rack (Wall Mounted)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/fitness-ball-storage-rack-wall-mounted
blob_only,3,"MEWMBL01","Fitness Ball Storage Rack (Wall Mounted)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/fitness-ball-storage-rack-wall-mounted
blob_only,3,"MEWMBL01","Fitness Ball Storage Rack (Wall Mounted)","Equipment Storage","Net weight","","11 kg","Copy ""11 kg"" into the net_weight field",/product/fitness-ball-storage-rack-wall-mounted
blob_only,3,"MEWMBL01","Fitness Ball Storage Rack (Wall Mounted)","Equipment Storage","Gross weight","","12 kg","Copy ""12 kg"" into the gross_weight field",/product/fitness-ball-storage-rack-wall-mounted
blob_only,3,"MEWMBL01","Fitness Ball Storage Rack (Wall Mounted)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/fitness-ball-storage-rack-wall-mounted
blob_only,3,"MEWMMA01","Exercise Mat Hanging Rack (Wall Mounted)","Equipment Storage","Assembled size","","570 x 100 x 100","Copy ""570 x 100 x 100"" into the assembled_size_length/width/height/depth field",/product/exercise-mat-hanging-rack-wall-mounted
blob_only,3,"MEWMMA01","Exercise Mat Hanging Rack (Wall Mounted)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/exercise-mat-hanging-rack-wall-mounted
blob_only,3,"MEWMMA01","Exercise Mat Hanging Rack (Wall Mounted)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/exercise-mat-hanging-rack-wall-mounted
blob_only,3,"MEWMMA01","Exercise Mat Hanging Rack (Wall Mounted)","Equipment Storage","Net weight","","4 kg","Copy ""4 kg"" into the net_weight field",/product/exercise-mat-hanging-rack-wall-mounted
blob_only,3,"MEWMMA01","Exercise Mat Hanging Rack (Wall Mounted)","Equipment Storage","Gross weight","","5 kg","Copy ""5 kg"" into the gross_weight field",/product/exercise-mat-hanging-rack-wall-mounted
blob_only,3,"MEWMMA01","Exercise Mat Hanging Rack (Wall Mounted)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/exercise-mat-hanging-rack-wall-mounted
blob_only,3,"MEWMOP01","Vertical Bumper Plate Rack 3 Tier (Wall Mounted)","Equipment Storage","Assembled size","","150 x 1,190 x 360","Copy ""150 x 1,190 x 360"" into the assembled_size_length/width/height/depth field",/product/vertical-bumper-plate-rack-3-tier-wall-mounted
blob_only,3,"MEWMOP01","Vertical Bumper Plate Rack 3 Tier (Wall Mounted)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/vertical-bumper-plate-rack-3-tier-wall-mounted
blob_only,3,"MEWMOP01","Vertical Bumper Plate Rack 3 Tier (Wall Mounted)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/vertical-bumper-plate-rack-3-tier-wall-mounted
blob_only,3,"MEWMOP01","Vertical Bumper Plate Rack 3 Tier (Wall Mounted)","Equipment Storage","Net weight","","11 kg","Copy ""11 kg"" into the net_weight field",/product/vertical-bumper-plate-rack-3-tier-wall-mounted
blob_only,3,"MEWMOP01","Vertical Bumper Plate Rack 3 Tier (Wall Mounted)","Equipment Storage","Gross weight","","13 kg","Copy ""13 kg"" into the gross_weight field",/product/vertical-bumper-plate-rack-3-tier-wall-mounted
blob_only,3,"MEWMOP01","Vertical Bumper Plate Rack 3 Tier (Wall Mounted)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/vertical-bumper-plate-rack-3-tier-wall-mounted
blob_only,3,"MEWMRO01","Battle Rope Storage (Wall Mounted)","Equipment Storage","Assembled size","","325 x 65 x 250","Copy ""325 x 65 x 250"" into the assembled_size_length/width/height/depth field",/product/battle-rope-storage-wall-mounted
blob_only,3,"MEWMRO01","Battle Rope Storage (Wall Mounted)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/battle-rope-storage-wall-mounted
blob_only,3,"MEWMRO01","Battle Rope Storage (Wall Mounted)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/battle-rope-storage-wall-mounted
blob_only,3,"MEWMRO01","Battle Rope Storage (Wall Mounted)","Equipment Storage","Net weight","","3 kg","Copy ""3 kg"" into the net_weight field",/product/battle-rope-storage-wall-mounted
blob_only,3,"MEWMRO01","Battle Rope Storage (Wall Mounted)","Equipment Storage","Gross weight","","4 kg","Copy ""4 kg"" into the gross_weight field",/product/battle-rope-storage-wall-mounted
blob_only,3,"MEWMRO01","Battle Rope Storage (Wall Mounted)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/battle-rope-storage-wall-mounted
blob_only,3,"MFRFRR-GROUP","Impact Lock Rubber Tiles","Flooring","Assembled size","","1,000 x 1,000 x 20-50","Copy ""1,000 x 1,000 x 20-50"" into the assembled_size_length/width/height/depth field",/product/impact-lock-rubber-tiles
blob_only,3,"MFRFRR-GROUP","Impact Lock Rubber Tiles","Flooring","Colour","","Multiple colours available","Copy ""Multiple colours available"" into the colour field",/product/impact-lock-rubber-tiles
blob_only,3,"MFRFRR-GROUP","Impact Lock Rubber Tiles","Flooring","Material","","Recycled rubber","Copy ""Recycled rubber"" into the material field",/product/impact-lock-rubber-tiles
blob_only,3,"MFRFRR-GROUP","Impact Lock Rubber Tiles","Flooring","Net weight","","45 kg","Copy ""45 kg"" into the net_weight field",/product/impact-lock-rubber-tiles
blob_only,3,"MFRFRR-GROUP","Impact Lock Rubber Tiles","Flooring","Gross weight","","47 kg","Copy ""47 kg"" into the gross_weight field",/product/impact-lock-rubber-tiles
blob_only,3,"MFRFRR-GROUP","Impact Lock Rubber Tiles","Flooring","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/impact-lock-rubber-tiles
blob_only,3,"AMBXPBG03","Aqua Punching Bag (Black)- 86kg","Mixed Implements","Assembled size","","530 x 530 x 530","Copy ""530 x 530 x 530"" into the assembled_size_length/width/height/depth field",/product/aqua-punching-bag-86kg-53cm-d
blob_only,3,"AMBXPBG03","Aqua Punching Bag (Black)- 86kg","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/aqua-punching-bag-86kg-53cm-d
blob_only,3,"AMBXPBG03","Aqua Punching Bag (Black)- 86kg","Mixed Implements","Material","","Vinyl","Copy ""Vinyl"" into the material field",/product/aqua-punching-bag-86kg-53cm-d
blob_only,3,"AMBXPBG03","Aqua Punching Bag (Black)- 86kg","Mixed Implements","Net weight","","7 kg","Copy ""7 kg"" into the net_weight field",/product/aqua-punching-bag-86kg-53cm-d
blob_only,3,"AMBXPBG03","Aqua Punching Bag (Black)- 86kg","Mixed Implements","Gross weight","","7 kg","Copy ""7 kg"" into the gross_weight field",/product/aqua-punching-bag-86kg-53cm-d
blob_only,3,"AMBXPBG03","Aqua Punching Bag (Black)- 86kg","Mixed Implements","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/aqua-punching-bag-86kg-53cm-d
blob_only,3,"AMKBUR-GROUP","Urethane Competition Kettlebells (Single)","Mixed Implements","Assembled size","","210 x 210 x 280","Copy ""210 x 210 x 280"" into the assembled_size_length/width/height/depth field",/product/urethane-competition-kettlebells-single
blob_only,3,"AMKBUR-GROUP","Urethane Competition Kettlebells (Single)","Mixed Implements","Colour","","Black, white","Copy ""Black, white"" into the colour field",/product/urethane-competition-kettlebells-single
blob_only,3,"AMKBUR-GROUP","Urethane Competition Kettlebells (Single)","Mixed Implements","Material","","Steel, urethane","Copy ""Steel, urethane"" into the material field",/product/urethane-competition-kettlebells-single
blob_only,3,"AMKBUR-GROUP","Urethane Competition Kettlebells (Single)","Mixed Implements","Net weight","","10 kg","Copy ""10 kg"" into the net_weight field",/product/urethane-competition-kettlebells-single
blob_only,3,"AMKBUR-GROUP","Urethane Competition Kettlebells (Single)","Mixed Implements","Gross weight","","11 kg","Copy ""11 kg"" into the gross_weight field",/product/urethane-competition-kettlebells-single
blob_only,3,"AMKBUR-GROUP","Urethane Competition Kettlebells (Single)","Mixed Implements","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/urethane-competition-kettlebells-single
blob_only,3,"MMBRNC01","Battle Rope - 12m","Mixed Implements","Assembled size","","12,000 x 42 x 42","Copy ""12,000 x 42 x 42"" into the assembled_size_length/width/height/depth field",/product/battle-rope-12m
blob_only,3,"MMBRNC01","Battle Rope - 12m","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/battle-rope-12m
blob_only,3,"MMBRNC01","Battle Rope - 12m","Mixed Implements","Material","","Nylon, steel","Copy ""Nylon, steel"" into the material field",/product/battle-rope-12m
blob_only,3,"MMBRNC01","Battle Rope - 12m","Mixed Implements","Net weight","","11 kg","Copy ""11 kg"" into the net_weight field",/product/battle-rope-12m
blob_only,3,"MMBRNC01","Battle Rope - 12m","Mixed Implements","Gross weight","","12 kg","Copy ""12 kg"" into the gross_weight field",/product/battle-rope-12m
blob_only,3,"MMBRNC01","Battle Rope - 12m","Mixed Implements","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/battle-rope-12m
blob_only,3,"MMDBPRH-GROUP","Premium Rubber Hex Dumbbell","Mixed Implements","Assembled size","","320 x 138 x 130","Copy ""320 x 138 x 130"" into the assembled_size_length/width/height/depth field",/product/premium-rubber-hex-dumbbell-3
blob_only,3,"MMDBPRH-GROUP","Premium Rubber Hex Dumbbell","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/premium-rubber-hex-dumbbell-3
blob_only,3,"MMDBPRH-GROUP","Premium Rubber Hex Dumbbell","Mixed Implements","Material","","Rubber","Copy ""Rubber"" into the material field",/product/premium-rubber-hex-dumbbell-3
blob_only,3,"MMDBPRH-GROUP","Premium Rubber Hex Dumbbell","Mixed Implements","Net weight","","10 kg","Copy ""10 kg"" into the net_weight field",/product/premium-rubber-hex-dumbbell-3
blob_only,3,"MMDBPRH-GROUP","Premium Rubber Hex Dumbbell","Mixed Implements","Gross weight","","11 kg","Copy ""11 kg"" into the gross_weight field",/product/premium-rubber-hex-dumbbell-3
blob_only,3,"MMDBPRH-GROUP","Premium Rubber Hex Dumbbell","Mixed Implements","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/premium-rubber-hex-dumbbell-3
blob_only,3,"MMDBUR-GROUP","Urethane Fixed Dumbbells","Mixed Implements","Assembled size","","240 x 153 x 153","Copy ""240 x 153 x 153"" into the assembled_size_length/width/height/depth field",/product/urethane-fixed-dumbbells-2
blob_only,3,"MMDBUR-GROUP","Urethane Fixed Dumbbells","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/urethane-fixed-dumbbells-2
blob_only,3,"MMDBUR-GROUP","Urethane Fixed Dumbbells","Mixed Implements","Material","","Steel, urethane","Copy ""Steel, urethane"" into the material field",/product/urethane-fixed-dumbbells-2
blob_only,3,"MMDBUR-GROUP","Urethane Fixed Dumbbells","Mixed Implements","Net weight","","10-50 kg","Copy ""10-50 kg"" into the net_weight field",/product/urethane-fixed-dumbbells-2
blob_only,3,"MMDBUR-GROUP","Urethane Fixed Dumbbells","Mixed Implements","Gross weight","","various","Copy ""various"" into the gross_weight field",/product/urethane-fixed-dumbbells-2
blob_only,3,"MMDBUR-GROUP","Urethane Fixed Dumbbells","Mixed Implements","Warranty","","24 months","Copy ""24 months"" into the warranty field",/product/urethane-fixed-dumbbells-2
blob_only,3,"MMDBVR-GROUP","Virgin Rubber Fixed Dumbbells","Mixed Implements","Assembled size","","240 x 153 x 153","Copy ""240 x 153 x 153"" into the assembled_size_length/width/height/depth field",/product/virgin-rubber-fixed-dumbbells
blob_only,3,"MMDBVR-GROUP","Virgin Rubber Fixed Dumbbells","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/virgin-rubber-fixed-dumbbells
blob_only,3,"MMDBVR-GROUP","Virgin Rubber Fixed Dumbbells","Mixed Implements","Material","","Steel, urethane","Copy ""Steel, urethane"" into the material field",/product/virgin-rubber-fixed-dumbbells
blob_only,3,"MMDBVR-GROUP","Virgin Rubber Fixed Dumbbells","Mixed Implements","Net weight","","10-50 kg","Copy ""10-50 kg"" into the net_weight field",/product/virgin-rubber-fixed-dumbbells
blob_only,3,"MMDBVR-GROUP","Virgin Rubber Fixed Dumbbells","Mixed Implements","Gross weight","","11 kg","Copy ""11 kg"" into the gross_weight field",/product/virgin-rubber-fixed-dumbbells
blob_only,3,"MMDBVR-GROUP","Virgin Rubber Fixed Dumbbells","Mixed Implements","Warranty","","24 months","Copy ""24 months"" into the warranty field",/product/virgin-rubber-fixed-dumbbells
blob_only,3,"MMDEHG-GROUP","High Grip Dead Ball","Mixed Implements","Assembled size","","280 x 280 x 280","Copy ""280 x 280 x 280"" into the assembled_size_length/width/height/depth field",/product/high-grip-dead-ball-4
blob_only,3,"MMDEHG-GROUP","High Grip Dead Ball","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/high-grip-dead-ball-4
blob_only,3,"MMDEHG-GROUP","High Grip Dead Ball","Mixed Implements","Material","","Rubber","Copy ""Rubber"" into the material field",/product/high-grip-dead-ball-4
blob_only,3,"MMDEHG-GROUP","High Grip Dead Ball","Mixed Implements","Net weight","","12 kg","Copy ""12 kg"" into the net_weight field",/product/high-grip-dead-ball-4
blob_only,3,"MMDEHG-GROUP","High Grip Dead Ball","Mixed Implements","Gross weight","","13 kg","Copy ""13 kg"" into the gross_weight field",/product/high-grip-dead-ball-4
blob_only,3,"MMDEHG-GROUP","High Grip Dead Ball","Mixed Implements","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/high-grip-dead-ball-4
blob_only,3,"MMDESH-GROUP","Dead Balls","Mixed Implements","Assembled size","","254 x 254 x 254","Copy ""254 x 254 x 254"" into the assembled_size_length/width/height/depth field",/product/dead-ball-2
blob_only,3,"MMDESH-GROUP","Dead Balls","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/dead-ball-2
blob_only,3,"MMDESH-GROUP","Dead Balls","Mixed Implements","Material","","Rubber","Copy ""Rubber"" into the material field",/product/dead-ball-2
blob_only,3,"MMDESH-GROUP","Dead Balls","Mixed Implements","Net weight","","12 kg","Copy ""12 kg"" into the net_weight field",/product/dead-ball-2
blob_only,3,"MMDESH-GROUP","Dead Balls","Mixed Implements","Gross weight","","13 kg","Copy ""13 kg"" into the gross_weight field",/product/dead-ball-2
blob_only,3,"MMDESH-GROUP","Dead Balls","Mixed Implements","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/dead-ball-2
blob_only,3,"MMGFPS01","Group Fitness Barbell Set - Collars (Pair)","Mixed Implements","Assembled size","","35 x 35 x 20","Copy ""35 x 35 x 20"" into the assembled_size_length/width/height/depth field",/product/group-fitness-barbell-set-collars-pair
blob_only,3,"MMGFPS01","Group Fitness Barbell Set - Collars (Pair)","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/group-fitness-barbell-set-collars-pair
blob_only,3,"MMGFPS01","Group Fitness Barbell Set - Collars (Pair)","Mixed Implements","Material","","Nylon resin","Copy ""Nylon resin"" into the material field",/product/group-fitness-barbell-set-collars-pair
blob_only,3,"MMGFPS01","Group Fitness Barbell Set - Collars (Pair)","Mixed Implements","Net weight","","1 kg","Copy ""1 kg"" into the net_weight field",/product/group-fitness-barbell-set-collars-pair
blob_only,3,"MMGFPS01","Group Fitness Barbell Set - Collars (Pair)","Mixed Implements","Gross weight","","1 kg","Copy ""1 kg"" into the gross_weight field",/product/group-fitness-barbell-set-collars-pair
blob_only,3,"MMGFPS01","Group Fitness Barbell Set - Collars (Pair)","Mixed Implements","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/group-fitness-barbell-set-collars-pair
blob_only,3,"MMGFPS02","Group Fitness Barbell Set - 37.5kg","Mixed Implements","Assembled size","","330 x 330 x 1,400","Copy ""330 x 330 x 1,400"" into the assembled_size_length/width/height/depth field",/product/group-fitness-barbell-set-37-5kg
blob_only,3,"MMGFPS02","Group Fitness Barbell Set - 37.5kg","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/group-fitness-barbell-set-37-5kg
blob_only,3,"MMGFPS02","Group Fitness Barbell Set - 37.5kg","Mixed Implements","Material","","Rubber, Steel","Copy ""Rubber, Steel"" into the material field",/product/group-fitness-barbell-set-37-5kg
blob_only,3,"MMGFPS02","Group Fitness Barbell Set - 37.5kg","Mixed Implements","Net weight","","38 kg","Copy ""38 kg"" into the net_weight field",/product/group-fitness-barbell-set-37-5kg
blob_only,3,"MMGFPS02","Group Fitness Barbell Set - 37.5kg","Mixed Implements","Gross weight","","39 kg","Copy ""39 kg"" into the gross_weight field",/product/group-fitness-barbell-set-37-5kg
blob_only,3,"MMGFPS02","Group Fitness Barbell Set - 37.5kg","Mixed Implements","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/group-fitness-barbell-set-37-5kg
blob_only,3,"MMKBPGC-GROUP","Competition Kettlebells","Mixed Implements","Assembled size","","210 x 280 x 210","Copy ""210 x 280 x 210"" into the assembled_size_length/width/height/depth field",/product/competition-kettlebells
blob_only,3,"MMKBPGC-GROUP","Competition Kettlebells","Mixed Implements","Colour","","Black","Copy ""Black"" into the colour field",/product/competition-kettlebells
blob_only,3,"MMKBPGC-GROUP","Competition Kettlebells","Mixed Implements","Material","","Steel","Copy ""Steel"" into the material field",/product/competition-kettlebells
blob_only,3,"MMKBPGC-GROUP","Competition Kettlebells","Mixed Implements","Net weight","","10 kg","Copy ""10 kg"" into the net_weight field",/product/competition-kettlebells
blob_only,3,"MMKBPGC-GROUP","Competition Kettlebells","Mixed Implements","Gross weight","","11 kg","Copy ""11 kg"" into the gross_weight field",/product/competition-kettlebells
