*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure
MWWPOU02,Olympic Urethane Weight Plates (3 Grip) - 2.5kg,,MWWPOU02,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,8.0364,,,18.1818,0.0000,12.3460,12.7273,13.6364,14.5455,15.4545,16.3636,18.1818,11.6827,13.9900,18.1800,,3.000,21,3.5,21,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SBBSTR01,Fitness & Balance Trainer,,SBBSTR01,KG,,,,,,Order Quantity,Order Quantity,,,,71.2019,,,163.6364,0.0000,116.0551,116.0551,122.7273,130.9091,139.0909,147.2727,163.6364,104.1149,125.8700,163.6400,0.0500,8.000,66,9,66,,,,,False,False,No,Body Weight,Balance & Stability,SNAP,4110,5110,,,,,,No,Yes,No,Yes,Yes,KG
SWBBFRU02,Rubber Fixed Barbells - 12.5kg,,SWBBFRU02,KG,,,,,,Order Quantity,Order Quantity,,,,31.3646,,,77.2727,0.0000,,,,,,,,,,,,14.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,SNAP,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
SWBBFRU04,Rubber Fixed Barbells - 17.5kg,,SWBBFRU04,KG,,,,,,Order Quantity,Order Quantity,,,,43.8551,,,104.5455,0.0000,,,,,,,,,,,,19.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,SNAP,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
SWBBFRU06,Rubber Fixed Barbells - 22.5kg,,SWBBFRU06,KG,,,,,,Order Quantity,Order Quantity,,,,56.3455,,,136.3636,0.0000,,,,,,,,,,,,24.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,SNAP,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
SWBBFRU09,Rubber Fixed Barbells - 35kg,,SWBBFRU09,KG,,,,,,Order Quantity,Order Quantity,,,,87.4331,,,209.0909,0.0000,,,,,,,,,,,,36.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,SNAP,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
SWBBFRU10,Rubber Fixed Barbells - 40kg,,SWBBFRU10,KG,,,,,,Order Quantity,Order Quantity,,,,99.9236,,,236.3636,0.0000,,,,,,,,,,,,41.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,SNAP,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
SWBBFRZ02,Rubber EZ Fixed Barbells - 12.5kg,,SWBBFRZ02,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,77.2727,0.0000,,,,,,,,,,,,14.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,SNAP,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
SWBBFRZ04,Rubber EZ Fixed Barbells - 17.5kg,,SWBBFRZ04,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,104.5455,0.0000,,,,,,,,,,,,19.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,SNAP,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
SWBBFRZ06,Rubber EZ Fixed Barbells - 22.5kg,,SWBBFRZ06,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,136.3636,0.0000,,,,,,,,,,,,24.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,SNAP,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
