"Kind","Product Code","Name","Group","Fields","ERP W","ERP H","ERP D","ERP kg","Store W","Store H","Store D","Store kg"
"needs-measuring","FMDBUR28","Urethane Fixed Dumbbells (Pair) - 9kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FSFTSFS02","Functional Training System 2.0 (Pink Accessories)","Rigs & Racks","","0","0","0","0","","","",""
"needs-measuring","FWBBFUR11","Urethane Fixed Barbells - 5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","FWBBFUR20","Fixed PU Curl Barbell - 5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR11","Fixed PU Straight Barbell - 5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR13","Fixed PU Straight Barbell - 27.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR14","Fixed PU Straight Barbell - 32.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR15","Fixed PU Straight Barbell - 37.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR16","Fixed PU Straight Barbell - 42.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR17","Fixed PU Straight Barbell - 45kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR18","Fixed PU Straight Barbell - 47.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR19","Fixed PU Straight Barbell - 50kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR20","Fixed PU Curl Barbell - 5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR21","Fixed PU Curl Barbell - 7.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR22","Fixed PU Curl Barbell - 10kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR23","Fixed PU Curl Barbell - 12.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR24","Fixed PU Curl Barbell - 15kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR25","Fixed PU Curl Barbell - 17.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR26","Fixed PU Curl Barbell - 20kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR27","Fixed PU Curl Barbell - 22.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR28","Fixed PU Curl Barbell - 25kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR29","Fixed PU Curl Barbell - 27.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR30","Fixed PU Curl Barbell - 30kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR31","Fixed PU Curl Barbell - 32.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR32","Fixed PU Curl Barbell - 35kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR33","Fixed PU Curl Barbell - 37.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR34","Fixed PU Curl Barbell - 40kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR35","Fixed PU Curl Barbell - 42.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR36","Fixed PU Curl Barbell - 45kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR37","Fixed PU Curl Barbell - 47.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWBBFUR38","Fixed PU Curl Barbell - 50kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPCNB06","Pro Bumper Plates - 5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPCNB07","Pro Bumper Plates - 10kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPCNB08","Pro Bumper Plates - 15kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPCNB09","Pro Bumper Plates - 20kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPCNB10","Pro Bumper Plates - 25kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPOU08","Olympic PU Weight Plates (4 Grip) - 1.25kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPOU09","Olympic PU Weight Plates (4 Grip) - 10kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPOU10","Olympic PU Weight Plates (4 Grip) - 15kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPOU11","Olympic PU Weight Plates (4 Grip) - 2.5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPOU12","Olympic PU Weight Plates (4 Grip) - 20kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPOU13","Olympic PU Weight Plates (4 Grip) - 25kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","GWWPOU14","Olympic PU Weight Plates (4 Grip) - 5kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","HMDBRH06","Rubber Hex Dumbbell - 5kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","HMDBRH13","Rubber Hex Dumbbell - 12.5kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","HSBTFW01","Seated Preacher Curl Bench","Strength","","0","0","0","0","","","",""
"needs-measuring","HSCMDU01","Functional Trainer (220LBS*2)","Strength","","0","0","0","0","","","",""
"needs-measuring","HSCMSE01","Functional Trainer","Strength","","0","0","0","0","","","",""
"needs-measuring","HSLBPL01","Seated Calf Raise Machine","Strength","","0","0","0","0","","","",""
"needs-measuring","HWWPOR06","Olympic Rubber Weight Plates (3 Grip) - 20kg","Weightlifting","","0","0","0","0","","","",""
"needs-measuring","MAAACO01","Sweat Towel","Apparel","","0.04","0.08","0","0","","","",""
"needs-measuring","MAAAU01","Trucker Hat","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAAAU02","Train Cap","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAAAU03","Socks","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU01L","Sweatshirt (Unisex) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU01M","Sweatshirt (Unisex) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU01S","Sweatshirt (Unisex) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU01XL","Sweatshirt (Unisex) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU02L","Oversized Hoodie (Unisex) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU02-L","Oversized Hoodie (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU02M","Oversized Hoodie (Unisex) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU02-M","Oversized Hoodie (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU02S","Oversized Hoodie (Unisex) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU02-S","Oversized Hoodie (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU02XL","Oversized Hoodie (Unisex) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU02-XL","Oversided Hoodie (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU03L","Oversized Tee (Unisex) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU03M","Oversized Tee (Unisex) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU03S","Oversized Tee (Unisex) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU03XL","Oversized Tee (Unisex) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU04L","Long Sleeve Tee (Unisex) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU04M","Long Sleeve Tee (Unisex) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU04S","Long Sleeve Tee (Unisex) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU04XL","Long Sleeve Tee (Unisex) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU05L","Short Sleeve Tee (Male) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU05M","Short Sleeve Tee (Male) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU05S","Short Sleeve Tee (Male) (S)","Apparel","","0","0","0","0","","","",""
