"*Product Code","Channel","Assembled size","Material","Colour","Warranty"
"SRSPATT03","portal","L 65 × W 65 × H 2,400 mm","Steel","Black","12"
"MRSPATT03","public","L 65 × W 65 × H 2,400 mm","Steel","Black","12 months"
"RRSPATT03","portal","L 65 × W 65 × H 2400 mm","Steel","Black","12 months"
"SRSPATT06","portal","W 415 × H 1,141 × D 408 mm","Steel","Black, Grey","12"
"MRSPATT06","public","W 415 × H 1,141 × D 408 mm","Steel","Black, Grey","12 months"
"RRSPATT06","portal","W 415 × H 1141 × D 408 mm","Steel","Black, Grey","12 months"
"MEWMACC02","public","W 570 × H 100 × D 100 mm","Steel","Black","12 months"
"AEWMACC02","public","W 570 × H 100 × D 100 mm","Steel","Black","12 months"
"SEWMACC02","portal","W 570 × H 100 × D 100 mm","Steel","Black","12 months"
"MEWMACC01","public","W 420 × H 100 × D 100 mm","Steel","Black","12 months"
"SEWMACC01","portal","W 420 × H 100 × D 100 mm","Steel","Black","12 months"
"MWPAFRU01","public","L 1,170 × W 930 × H 1,350 mm","Recycled rubber, Steel","Black","12 months"
"MWPAFRU02","public","L 1,170 × W 968 × H 1,320 mm","Recycled rubber, Steel","Black","12 months"
"MBSALD01","public","L 5,000 × W 410 × H 4 mm","Rubber","Black, Blue","6 months"
"SBSALD01","portal","L 5,000 × W 410 × H 4 mm","Rubber","Black, Blue","6"
"MSCSSE01","public","L 1,675 × W 1,444 × H 1,602 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
"MCSTAR02","public","L 410 × W 530 × H 2,170 mm","Steel","Black","5 Years Frame, 2 Years Non-Wearable Parts"
"MCSTACC01","public","L 1,280 × W 770 × H 20 mm","","Black","12 months"
"MCSTAR01","public","L 410 × W 530 × H 2,170 mm","Steel","Black","5 Years Frame, 2 Years Non-Wearable Parts"
"MCSTACC02","public","W 530 × H 2,170 × D 410 mm","Steel","Black","12 months"
"MMLBACC01","public","W 590 × H 150 × D 350 mm","Plywood board","Black","3 months"
"SMLBACC01","portal","W 590 × H 150 × D 350 mm","Plywood board","Black","3"
"MBSARO01","public","L 1,500 mm","Wire, Clear PVC","Silver, Black","3 months"
"SBSARO01","portal","L 1,500 mm","Wire, Clear PVC","Silver, Black","3 months"
"MBSADO02","public","L 100 × W 100 × H 4 mm","Silicone","Multiple colour options available","6 months"
"SBSADO02","portal","L 100 × W 100 × H 4 mm","Silicone","Multiple colour options available","6 months"
"ABSUTR01","public","W 1,600 × H 80 × D 120 mm","Nylon webbing","Black, Blue","6 months"
"MBSUTR01","public","W 1,600 × H 80 × D 120 mm","Nylon webbing","Black, Blue","6 months"
"SBSUTR01","portal","W 1,600 × H 80 × D 120 mm","Nylon webbing","Black, Blue","6 months"
"MSBMPL01","public","L 1,960 × W 1,020 × H 1,253 mm","Steel, Foam, Artificial Leather, HDPE","Black/Red","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
"RBCTACC01","portal","L 650 × W 336 × H 76 mm","Steel","Black","12 months"
"SBCTACC01","portal","W 650 × H 76 × D 336 mm","Steel","Black","12"
"MBCTACC01","public","W 650 × H 76 × D 336 mm","Steel","Black","12 months"
"SEWMBB02","portal","W 550 × H 75 × D 112 mm","Steel","Black","12"
"MEWMBB02","public","W 550 × H 75 × D 112 mm","Steel","Black","12 months"
"SEWMOP01","portal","W 150 × H 1,190 × D 360 mm","Steel","Black","12 months"
"MEWMOP01","public","W 150 × H 1,190 × D 360 mm","Steel","Black","12 months"
"REWMOP01","portal","W 150 × H 1190 × D 360 mm","Steel","Black","12 months"
"MEFRDB05","public","L 710 × W 420 × H 1,630 mm","Steel","Black","12 months"
"SEFRDB05","portal","L 710 × W 420 × H 1,630 mm","Steel","Black","12"
"SEFRDB12","portal","L 1,650 × W 430 × H 430 mm","Steel","Black","12 months"
"MEFRDB01","public","L 780 × W 620 × H 1,440 mm","Steel","Black","12 months"
