Group,Sub-group,Card,Level,Product code,Product name,Problem,Unleashed field,What the customer sees
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR25","Fixed PU Curl Barbell - 17.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR26","Fixed PU Curl Barbell - 20kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR27","Fixed PU Curl Barbell - 22.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR28","Fixed PU Curl Barbell - 25kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR29","Fixed PU Curl Barbell - 27.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR30","Fixed PU Curl Barbell - 30kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR31","Fixed PU Curl Barbell - 32.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR32","Fixed PU Curl Barbell - 35kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR33","Fixed PU Curl Barbell - 37.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR34","Fixed PU Curl Barbell - 40kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR35","Fixed PU Curl Barbell - 42.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR36","Fixed PU Curl Barbell - 45kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
